39
0 8
8 12
20 8
28 12
40 8
48 12
60 12
72 8
80 12
92 8
100 12
112 8
120 12
132 8
140 12
152 8
160 12
172 8
180 12
192 8
200 12
212 8
220 12
232 12
244 8
252 12
264 12
276 8
284 12
296 8
304 12
316 8
324 12
336 12
348 8
356 12
368 12
380 12
392 8
c1833 336 122
c1834 380 100
c1835 324 99
c1836 356 135
c1837 380 169
c1838 356 150
c1839 220 111
c1840 380 192
c1841 336 180
c1842 324 182
c1843 356 186
c1844 380 195
c1845 380 263
c1846 380 201
c1847 336 253
c1848 304 230
c1849 368 126
c1850 380 216
c1851 356 255
c1852 368 187
c1853 380 230
c1854 380 224
c1855 380 257
c1856 368 217
c1857 356 297
c1858 380 278
c1859 380 284
c1860 324 270
c1861 356 20
c1862 380 12
c1863 380 6
c1864 336 102
c1865 368 -16
c1866 324 78
c1867 304 21
c1868 380 55
c1869 380 112
c1870 380 61
c1871 304 94
c1872 380 43
c1873 324 96
c1874 380 123
c1875 380 106
c1876 368 -38
c1877 324 144
c1878 356 169
c1879 356 161
c1880 368 12
c1881 368 58
c1882 336 142
c1883 368 100
c1884 368 143
c1885 356 183
c1886 356 210
c1887 368 170
c1888 368 190
c1889 336 169
c1890 368 223
c1891 368 109
c1892 324 255
c1893 368 229
c1894 368 106
c1895 336 218
c1896 368 235
c1897 356 273
c1898 356 261
c1899 368 209
c1900 368 256
c1901 368 198
c1902 368 -46
c1903 368 -30
c1904 368 -5
c1905 336 51
c1906 368 -27
c1907 368 -8
c1908 356 14
c1909 356 3
c1910 368 -2
c1911 356 124
c1912 336 79
c1913 368 72
c1914 368 34
c1915 336 85
c1916 368 20
c1917 368 4
c1918 368 46
c1919 336 134
c1920 368 91
c1921 368 26
c1922 356 153
c1923 368 80
c1924 368 118
c1925 368 52
c1926 304 200
c1927 368 132
c1928 368 151
c1929 368 97
c1930 368 162
c1931 356 249
c1932 368 115
c1933 336 267
c1934 368 272
c1935 368 232
c1936 356 218
c1937 336 188
c1938 368 159
c1939 368 286
c1940 368 241
c1941 368 264
c1942 368 206
c1943 356 267
c1944 368 294
c1945 356 291
